game_id,round_order,round_name,region,slot_label,source_top_type,source_top_id,source_bottom_type,source_bottom_id,team_a_slug,team_a_name,seed_a,team_b_slug,team_b_name,seed_b,win_prob_a,win_prob_b,picked_winner_slug,picked_winner_name,picked_seed,picked_winner_prob,picked_loser_slug,picked_loser_name,picked_loser_seed,round_points,picked_team_game_win_prob,expected_points
midwest_r64_3,1,Round of 64,MIDWEST,Round of 64 3,team,texas-tech,team,akron,texas-tech,Texas Tech,5,akron,Akron,12,0.8725741803646088,0.12742581963539124,texas-tech,Texas Tech,5,0.8725741803646088,akron,Akron,12,1,0.8725741803646088,0.8725741803646088
midwest_r64_4,1,Round of 64,MIDWEST,Round of 64 4,team,alabama,team,hofstra,alabama,Alabama,4,hofstra,Hofstra,13,0.9051130078732968,0.09488699212670315,alabama,Alabama,4,0.9051130078732968,hofstra,Hofstra,13,1,0.9051130078732968,0.9051130078732968
midwest_r64_5,1,Round of 64,MIDWEST,Round of 64 5,team,tennessee,game,midwest_ff_2,tennessee,Tennessee,6,southern-methodist,Southern Methodist,11,0.7517750859260559,0.2482249140739441,tennessee,Tennessee,6,0.7517750859260559,southern-methodist,Southern Methodist,11,1,0.8030370810901059,0.8030370810901059
midwest_r64_6,1,Round of 64,MIDWEST,Round of 64 6,team,virginia,team,wright-state,virginia,Virginia,3,wright-state,Wright State,14,0.9021455571055412,0.09785444289445877,virginia,Virginia,3,0.9021455571055412,wright-state,Wright State,14,1,0.9021455571055412,0.9021455571055412
midwest_r64_7,1,Round of 64,MIDWEST,Round of 64 7,team,kentucky,team,santa-clara,kentucky,Kentucky,7,santa-clara,Santa Clara,10,0.6178423464298248,0.38215765357017517,kentucky,Kentucky,7,0.6178423464298248,santa-clara,Santa Clara,10,1,0.6178423464298248,0.6178423464298248
midwest_r64_8,1,Round of 64,MIDWEST,Round of 64 8,team,iowa-state,team,tennessee-state,iowa-state,Iowa State,2,tennessee-state,Tennessee State,15,0.9748702654615043,0.02512973453849565,iowa-state,Iowa State,2,0.9748702654615043,tennessee-state,Tennessee State,15,1,0.9748702654615043,0.9748702654615043
south_r64_1,1,Round of 64,SOUTH,Round of 64 1,team,florida,game,south_ff_1,florida,Florida,1,lehigh,Lehigh,16,0.9867224101908504,0.013277589809149615,florida,Florida,1,0.9867224101908504,lehigh,Lehigh,16,1,0.9831059589350789,0.9831059589350789
south_r64_2,1,Round of 64,SOUTH,Round of 64 2,team,clemson,team,iowa,clemson,Clemson,8,iowa,Iowa,9,0.4546687602996826,0.5453312397003174,iowa,Iowa,9,0.5453312397003174,clemson,Clemson,8,1,0.5453312397003174,0.5453312397003174
south_r64_3,1,Round of 64,SOUTH,Round of 64 3,team,vanderbilt,team,mcneese-state,vanderbilt,Vanderbilt,5,mcneese-state,McNeese State,12,0.7198304086923599,0.2801695913076401,vanderbilt,Vanderbilt,5,0.7198304086923599,mcneese-state,McNeese State,12,1,0.7198304086923599,0.7198304086923599
south_r64_4,1,Round of 64,SOUTH,Round of 64 4,team,nebraska,team,troy,nebraska,Nebraska,4,troy,Troy,13,0.8727327659726143,0.1272672340273857,nebraska,Nebraska,4,0.8727327659726143,troy,Troy,13,1,0.8727327659726143,0.8727327659726143
south_r64_5,1,Round of 64,SOUTH,Round of 64 5,team,north-carolina,team,virginia-commonwealth,north-carolina,North Carolina,6,virginia-commonwealth,Virginia Commonwealth,11,0.6228964179754257,0.3771035820245743,north-carolina,North Carolina,6,0.6228964179754257,virginia-commonwealth,Virginia Commonwealth,11,1,0.6228964179754257,0.6228964179754257
south_r64_6,1,Round of 64,SOUTH,Round of 64 6,team,illinois,team,pennsylvania,illinois,Illinois,3,pennsylvania,Pennsylvania,14,0.9747425420209764,0.025257457979023568,illinois,Illinois,3,0.9747425420209764,pennsylvania,Pennsylvania,14,1,0.9747425420209764,0.9747425420209764
south_r64_7,1,Round of 64,SOUTH,Round of 64 7,team,saint-marys-ca,team,texas-am,saint-marys-ca,Saint Mary's (CA),7,texas-am,Texas A&M,10,0.5196079611778259,0.4803920388221741,saint-marys-ca,Saint Mary's (CA),7,0.5196079611778259,texas-am,Texas A&M,10,1,0.5196079611778259,0.5196079611778259
south_r64_8,1,Round of 64,SOUTH,Round of 64 8,team,houston,team,idaho,houston,Houston,2,idaho,Idaho,15,0.9826289266347884,0.017371073365211598,houston,Houston,2,0.9826289266347884,idaho,Idaho,15,1,0.9826289266347884,0.9826289266347884
west_r64_1,1,Round of 64,WEST,Round of 64 1,team,arizona,team,long-island-university,arizona,Arizona,1,long-island-university,Long Island University,16,0.9606669042259456,0.039333095774054416,arizona,Arizona,1,0.9606669042259456,long-island-university,Long Island University,16,1,0.9606669042259456,0.9606669042259456
west_r64_2,1,Round of 64,WEST,Round of 64 2,team,villanova,team,utah-state,villanova,Villanova,8,utah-state,Utah State,9,0.4187436103820801,0.5812563896179199,utah-state,Utah State,9,0.5812563896179199,villanova,Villanova,8,1,0.5812563896179199,0.5812563896179199
west_r64_3,1,Round of 64,WEST,Round of 64 3,team,wisconsin,team,high-point,wisconsin,Wisconsin,5,high-point,High Point,12,0.8364188075065613,0.16358119249343872,wisconsin,Wisconsin,5,0.8364188075065613,high-point,High Point,12,1,0.8364188075065613,0.8364188075065613
west_r64_4,1,Round of 64,WEST,Round of 64 4,team,arkansas,team,hawaii,arkansas,Arkansas,4,hawaii,Hawaii,13,0.9161418750882148,0.08385812491178524,arkansas,Arkansas,4,0.9161418750882148,hawaii,Hawaii,13,1,0.9161418750882148,0.9161418750882148
west_r64_5,1,Round of 64,WEST,Round of 64 5,team,brigham-young,game,west_ff_1,brigham-young,Brigham Young,6,texas,Texas,11,0.6064720153808594,0.3935279846191406,brigham-young,Brigham Young,6,0.6064720153808594,texas,Texas,11,1,0.6004101188967983,0.6004101188967983
west_r64_6,1,Round of 64,WEST,Round of 64 6,team,gonzaga,team,kennesaw-state,gonzaga,Gonzaga,3,kennesaw-state,Kennesaw State,14,0.9612352345138788,0.03876476548612118,gonzaga,Gonzaga,3,0.9612352345138788,kennesaw-state,Kennesaw State,14,1,0.9612352345138788,0.9612352345138788
west_r64_7,1,Round of 64,WEST,Round of 64 7,team,miami-fl,team,missouri,miami-fl,Miami (FL),7,missouri,Missouri,10,0.7050155997276306,0.2949844002723694,miami-fl,Miami (FL),7,0.7050155997276306,missouri,Missouri,10,1,0.7050155997276306,0.7050155997276306
west_r64_8,1,Round of 64,WEST,Round of 64 8,team,purdue,team,queens-nc,purdue,Purdue,2,queens-nc,Queens (NC),15,0.9760991325601936,0.02390086743980635,purdue,Purdue,2,0.9760991325601936,queens-nc,Queens (NC),15,1,0.9760991325601936,0.9760991325601936
east_r32_1,2,Round of 32,EAST,Round of 32 1,game,east_r64_1,game,east_r64_2,duke,Duke,1,texas-christian,TCU,9,0.9291617907583714,0.07083820924162865,duke,Duke,1,0.9291617907583714,texas-christian,TCU,9,2,0.8943592215685794,1.7887184431371588
east_r32_2,2,Round of 32,EAST,Round of 32 2,game,east_r64_3,game,east_r64_4,st-johns-ny,St. John's (NY),5,kansas,Kansas,4,0.5544242113828659,0.4455757886171341,kansas,Kansas,4,0.4455757886171341,st-johns-ny,St. John's (NY),5,2,0.5058790372769937,1.0117580745539874
east_r32_3,2,Round of 32,EAST,Round of 32 3,game,east_r64_5,game,east_r64_6,louisville,Louisville,6,michigan-state,Michigan State,3,0.453770101070404,0.546229898929596,michigan-state,Michigan State,3,0.546229898929596,louisville,Louisville,6,2,0.5758312152814034,1.1516624305628067
east_r32_4,2,Round of 32,EAST,Round of 32 4,game,east_r64_7,game,east_r64_8,ucla,UCLA,7,connecticut,Connecticut,2,0.3445597887039184,0.6554402112960815,connecticut,Connecticut,2,0.6554402112960815,ucla,UCLA,7,2,0.6744845963862345,1.348969192772469
midwest_r32_1,2,Round of 32,MIDWEST,Round of 32 1,game,midwest_r64_1,game,midwest_r64_2,michigan,Michigan,1,georgia,Georgia,8,0.8292661160230637,0.17073388397693634,michigan,Michigan,1,0.8292661160230637,georgia,Georgia,8,2,0.818490281671621,1.636980563343242
midwest_r32_2,2,Round of 32,MIDWEST,Round of 32 2,game,midwest_r64_3,game,midwest_r64_4,texas-tech,Texas Tech,5,alabama,Alabama,4,0.5066971480846405,0.4933028519153595,alabama,Alabama,4,0.4933028519153595,texas-tech,Texas Tech,5,2,0.49364813528532986,0.9872962705706597
midwest_r32_3,2,Round of 32,MIDWEST,Round of 32 3,game,midwest_r64_5,game,midwest_r64_6,tennessee,Tennessee,6,virginia,Virginia,3,0.6525028347969055,0.3474971652030945,tennessee,Tennessee,6,0.6525028347969055,virginia,Virginia,3,2,0.5481892688493156,1.0963785376986313
midwest_r32_4,2,Round of 32,MIDWEST,Round of 32 4,game,midwest_r64_7,game,midwest_r64_8,kentucky,Kentucky,7,iowa-state,Iowa State,2,0.3039021790027618,0.6960978209972382,iowa-state,Iowa State,2,0.6960978209972382,kentucky,Kentucky,7,2,0.6842919742106235,1.368583948421247
south_r32_1,2,Round of 32,SOUTH,Round of 32 1,game,south_r64_1,game,south_r64_2,florida,Florida,1,iowa,Iowa,9,0.7785741984844208,0.22142580151557922,florida,Florida,1,0.7785741984844208,iowa,Iowa,9,2,0.7983966628970816,1.596793325794163
south_r32_2,2,Round of 32,SOUTH,Round of 32 2,game,south_r64_3,game,south_r64_4,vanderbilt,Vanderbilt,5,nebraska,Nebraska,4,0.5364120006561279,0.46358799934387207,nebraska,Nebraska,4,0.46358799934387207,vanderbilt,Vanderbilt,5,2,0.46044861030141476,0.9208972206028295
south_r32_3,2,Round of 32,SOUTH,Round of 32 3,game,south_r64_5,game,south_r64_6,north-carolina,North Carolina,6,illinois,Illinois,3,0.2393550500273704,0.7606449499726295,illinois,Illinois,3,0.7606449499726295,north-carolina,North Carolina,6,2,0.7576473577203883,1.5152947154407765
south_r32_4,2,Round of 32,SOUTH,Round of 32 4,game,south_r64_7,game,south_r64_8,saint-marys-ca,Saint Mary's (CA),7,houston,Houston,2,0.3467040657997131,0.6532959342002869,houston,Houston,2,0.6532959342002869,saint-marys-ca,Saint Mary's (CA),7,2,0.7154093752853662,1.4308187505707324
west_r32_1,2,Round of 32,WEST,Round of 32 1,game,west_r64_1,game,west_r64_2,arizona,Arizona,1,utah-state,Utah State,9,0.7768254652619362,0.2231745347380638,arizona,Arizona,1,0.7768254652619362,utah-state,Utah State,9,2,0.7808607045148204,1.5617214090296407
west_r32_2,2,Round of 32,WEST,Round of 32 2,game,west_r64_3,game,west_r64_4,wisconsin,Wisconsin,5,arkansas,Arkansas,4,0.5290813744068146,0.4709186255931854,arkansas,Arkansas,4,0.4709186255931854,wisconsin,Wisconsin,5,2,0.48663219166434196,0.9732643833286839
west_r32_3,2,Round of 32,WEST,Round of 32 3,game,west_r64_5,game,west_r64_6,brigham-young,Brigham Young,6,gonzaga,Gonzaga,3,0.3127692341804504,0.6872307658195496,gonzaga,Gonzaga,3,0.6872307658195496,brigham-young,Brigham Young,6,2,0.7043614938115265,1.408722987623053
west_r32_4,2,Round of 32,WEST,Round of 32 4,game,west_r64_7,game,west_r64_8,miami-fl,Miami (FL),7,purdue,Purdue,2,0.2343069463968277,0.7656930536031723,purdue,Purdue,2,0.7656930536031723,miami-fl,Miami (FL),7,2,0.7556930167179319,1.5113860334358638
east_s16_1,3,Sweet 16,EAST,Sweet 16 1,game,east_r32_1,game,east_r32_2,duke,Duke,1,kansas,Kansas,4,0.8656121715903282,0.13438782840967178,duke,Duke,1,0.8656121715903282,kansas,Kansas,4,4,0.756071190704565,3.02428476281826
east_s16_2,3,Sweet 16,EAST,Sweet 16 2,game,east_r32_3,game,east_r32_4,michigan-state,Michigan State,3,connecticut,Connecticut,2,0.560259997844696,0.43974000215530396,michigan-state,Michigan State,3,0.560259997844696,connecticut,Connecticut,2,4,0.34243850094274564,1.3697540037709826
midwest_s16_1,3,Sweet 16,MIDWEST,Sweet 16 1,game,midwest_r32_1,game,midwest_r32_2,michigan,Michigan,1,alabama,Alabama,4,0.6961039751768112,0.3038960248231888,michigan,Michigan,1,0.6961039751768112,alabama,Alabama,4,4,0.5820050157382552,2.328020062953021
midwest_s16_2,3,Sweet 16,MIDWEST,Sweet 16 2,game,midwest_r32_3,game,midwest_r32_4,tennessee,Tennessee,6,iowa-state,Iowa State,2,0.4399239718914032,0.5600760281085968,iowa-state,Iowa State,2,0.5600760281085968,tennessee,Tennessee,6,4,0.42337138059937596,1.6934855223975038
south_s16_1,3,Sweet 16,SOUTH,Sweet 16 1,game,south_r32_1,game,south_r32_2,florida,Florida,1,nebraska,Nebraska,4,0.7521104365587234,0.24788956344127655,florida,Florida,1,0.7521104365587234,nebraska,Nebraska,4,4,0.6124850448087916,2.4499401792351665
south_s16_2,3,Sweet 16,SOUTH,Sweet 16 2,game,south_r32_3,game,south_r32_4,illinois,Illinois,3,houston,Houston,2,0.5448858290910721,0.4551141709089279,illinois,Illinois,3,0.5448858290910721,houston,Houston,2,4,0.4398924025156336,1.7595696100625344
west_s16_1,3,Sweet 16,WEST,Sweet 16 1,game,west_r32_1,game,west_r32_2,arizona,Arizona,1,arkansas,Arkansas,4,0.7447960451245308,0.2552039548754692,arizona,Arizona,1,0.7447960451245308,arkansas,Arkansas,4,4,0.5884264249476792,2.3537056997907166
west_s16_2,3,Sweet 16,WEST,Sweet 16 2,game,west_r32_3,game,west_r32_4,gonzaga,Gonzaga,3,purdue,Purdue,2,0.456571415066719,0.543428584933281,purdue,Purdue,2,0.543428584933281,gonzaga,Gonzaga,3,4,0.44646898383635353,1.7858759353454141
east_e8_1,4,Elite 8,EAST,Elite 8 1,game,east_s16_1,game,east_s16_2,duke,Duke,1,michigan-state,Michigan State,3,0.7629969641566277,0.23700303584337234,duke,Duke,1,0.7629969641566277,michigan-state,Michigan State,3,8,0.6035838838339792,4.828671070671834
midwest_e8_1,4,Elite 8,MIDWEST,Elite 8 1,game,midwest_s16_1,game,midwest_s16_2,michigan,Michigan,1,iowa-state,Iowa State,2,0.6056644171476364,0.3943355828523636,michigan,Michigan,1,0.6056644171476364,iowa-state,Iowa State,2,8,0.39034562702497144,3.1227650161997715
south_e8_1,4,Elite 8,SOUTH,Elite 8 1,game,south_s16_1,game,south_s16_2,florida,Florida,1,illinois,Illinois,3,0.6248926520347595,0.3751073479652405,florida,Florida,1,0.6248926520347595,illinois,Illinois,3,8,0.39422028713401036,3.153762297072083
west_e8_1,4,Elite 8,WEST,Elite 8 1,game,west_s16_1,game,west_s16_2,arizona,Arizona,1,purdue,Purdue,2,0.5786127597093582,0.4213872402906418,arizona,Arizona,1,0.5786127597093582,purdue,Purdue,2,8,0.35700817388451006,2.8560653910760805
final_four_1,5,Final Four,EAST/WEST,EAST vs WEST,game,east_e8_1,game,west_e8_1,duke,Duke,1,arizona,Arizona,1,0.5999487936496735,0.40005120635032654,duke,Duke,1,0.5999487936496735,arizona,Arizona,1,16,0.43462045028772356,6.953927204603577
final_four_2,5,Final Four,SOUTH/MIDWEST,SOUTH vs MIDWEST,game,south_e8_1,game,midwest_e8_1,florida,Florida,1,michigan,Michigan,1,0.5356342196464539,0.46436578035354614,florida,Florida,1,0.5356342196464539,michigan,Michigan,1,16,0.25138087959765404,4.022094073562465
championship,6,Championship,National,National Championship,game,final_four_1,game,final_four_2,duke,Duke,1,florida,Florida,1,0.5842752158641815,0.4157247841358185,duke,Duke,1,0.5842752158641815,florida,Florida,1,32,0.293119485183586,9.379823525874752
